zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000191583186,1,1390,3860,1730,NT,82.48,,Cc1ccc(C[C@@H](CO)N[C@@H](C)CCc2ccccc2[N+](=O)[O-])cc1,-75.5,25.0
ZINC000159533726,0,,,,NT,2.68,,C[C@H](C(=O)Nc1cc([N+](=O)[O-])ccc1Cl)N(C)C[C@@H]1CCC[C@@H]1O,-73.67,24.0
ZINC000151228439,0,,,,NT,17.50,,C[C@@H](NC[C@](C)(O)c1ccccc1)c1cn(-c2ccccc2)nn1,-73.47,24.0
ZINC000291023493,0,,,,NT,-10.33,,C[C@H](Nc1cc(-n2cccn2)nc(N)n1)[C@H](c1ccccc1)N(C)C,-72.95,25.0
ZINC000593577820,0,,,,NT,11.48,,COC(=O)C[C@H]1CSCCN1Cc1cn(-c2cccc(C)c2)nc1C,-72.5,25.0
ZINC000642686331,0,,,,NT,15.21,,Clc1ccccc1-c1cc(CN2CCC[C@H]2Cn2cncn2)no1,-72.22,24.0
ZINC000378200657,0,,,,NT,-5.76,,c1ncn(C[C@@H]2CCCN2Cc2cc(-c3ccccc3)cs2)n1,-72.21,23.0
ZINC000293604393,0,,,,NT,16.59,,C[C@@H](CCc1ccccc1F)N[C@@H](CC(N)=O)c1ccccc1,-71.7,23.0
ZINC000365834982,0,,,,NT,-0.08,,C[C@H](C(=O)Nc1cccc2ccccc21)N1CC[C@@](O)(C2CC2)C1,-71.66,24.0
ZINC000640099740,0,,,,NT,-4.08,,Cc1sc2nc(CN3CC[C@H](O)[C@H]4CCCC[C@@H]43)nc(O)c2c1C,-71.55,24.0
ZINC000495211316,0,,,,NT,11.99,,CC[C@]1(O)CCN(CC(=O)NCc2ccc(F)cc2C(F)(F)F)C1,-71.48,24.0
ZINC000367970677,0,,,,NT,44.40,,Cc1ccccc1-n1cc(CN[C@@H]2Cc3ccccc3[C@@H]2O)nn1,-71.47,24.0
ZINC000155613934,0,,,,NT,2.54,,CC(C)OC(=O)[C@H](C)N(C)C[C@H](O)Cc1ccccc1C(F)(F)F,-71.46,24.0
ZINC000488230856,0,,,,NT,43.75,,CCC1CCC(N(CCO)CC(=O)Nc2cc(F)cc(F)c2)CC1,-71.18,24.0
ZINC000067715288,0,,,,NT,32.19,,CC[C@H]1CCCCN1CC(=O)Nc1c(C#N)cnn1-c1ccccc1,-71.06,25.0
ZINC000613759362,1,3910,>10000,>10000,NT,65.77,,CN(CCc1ccccc1)CC(=O)NCc1ccccc1C(F)(F)F,-70.92,25.0
ZINC000480496068,1,2950,>10000,>10000,NT,69.57,,COC(=O)c1ccccc1CCN(C)CC(=O)Nc1cccc(Cl)c1,-70.85,25.0
ZINC000352657646,0,,,,NT,-1.02,,CCOC(=O)c1nc(-c2ccccc2)oc1CN(C)[C@@H]1CCC[C@@H]1O,-70.79,25.0
ZINC000302699560,0,,,,NT,3.55,,Cc1ccc(C[C@@H](CO)CNc2cc(-n3cccn3)nc(N)n2)cc1,-70.73,25.0
ZINC000475202287,0,,,,NT,24.86,,OC[C@H](Cc1ccc(F)cc1)NCc1ccc(Cl)cc1-n1cncn1,-70.73,25.0
ZINC000521570499,0,,,,NT,-20.18,,Cc1cccc(C)c1NC(=O)CNC(=O)[C@@H](C)N[C@@H]1CCC[C@@H]2C[C@@H]21,-70.54,25.0
ZINC000080960073,0,,,,NT,3.01,,C[C@@H](NC(=O)CN1CCC[C@H](c2ncc[nH]2)C1)c1ccc(Cl)cc1,-70.48,24.0
ZINC000159509070,0,,,,NT,29.53,,CN(CC(=O)Nc1cc(C(F)(F)F)ccc1Cl)C[C@@H]1CCC[C@@H]1O,-70.32,24.0
ZINC000450557088,0,,,,NT,23.53,,C[C@@H](c1ccccc1)[C@H](O)CN(C)CC(=O)Nc1cc(F)cc(F)c1,-70.2,25.0
ZINC000359552375,0,,,,NT,57.30,,C[C@H](C(=O)NCc1ccc(F)cc1)N1CC[C@]2(CC[C@@H](C)C2)C1,-70.18,23.0
ZINC000270959340,0,,,,NT,6.14,,CC[C@@H]1CN([C@H](C)C(=O)NCc2ccc(Cl)cc2)C[C@@H]1O,-70.14,21.0
ZINC000265162697,0,,,,NT,7.62,,COC(=O)c1cc(NC(=O)[C@@H](C)N2CC[C@H](O)C2)cc(C(=O)OC)c1,-70.12,25.0
ZINC000345765694,0,,,,NT,-1.26,,CCCNc1ccc(C#N)cc1NC(=O)CN1[C@@H](C)CC[C@@H]1C,-70.04,23.0
ZINC000452104081,0,,,,NT,2.21,,C[C@@H](C(=O)Nc1ccc(Cl)cc1C(F)(F)F)N1C[C@H](C)C[C@@H](O)C1,-70.02,24.0
ZINC000650720303,0,,,,NT,37.33,,c1ncn(-c2ccccc2CNCC[C@@H]2CCc3ccccc3N2)n1,-69.89,25.0
ZINC000280696398,0,,,,NT,36.41,,COc1cc(NC(=O)[C@@H](C2CC2)N2CCCC2)cc(-n2cccn2)c1,-69.86,25.0
ZINC000298731694,0,,,,NT,-19.34,,O=C(N[C@H](CO)CN1CCCCC1)c1cc(O)c2ccccc2n1,-69.86,24.0
ZINC000372295546,0,,,,NT,2.57,,C[C@H](C(=O)Nc1ccc(OC(F)(F)F)cc1)N1C[C@H](O)C2(CC2)C1,-69.83,24.0
ZINC000517755157,1,5200,>10000,>10000,NT,62.81,,C[C@@H](C(=O)NC(C)(C)C)N(C)Cc1cc2ccccc2n(C)c1=O,-69.65,24.0
ZINC000373387982,1,2530,>10000,>10000,NT,68.80,,OC1(CNCc2ccc(Cl)cc2-n2cncn2)Cc2ccccc2C1,-69.63,25.0
ZINC000619015225,0,,,,NT,10.62,,Cc1cccn2c(NC(=O)[C@@H](C3CC3)N3CCCC3)cnc12,-69.6,22.0
ZINC000284910391,0,,,,NT,16.87,,C[C@H](c1ncc(-c2ccc(Cl)cc2)o1)N1CC[C@@](O)(c2c[nH]nn2)C1,-69.55,25.0
ZINC000488256763,0,,,,NT,74.48,,C=C(CN[C@H](Cc1ccc(Cl)cc1)C(N)=O)c1ccccc1,-69.55,22.0
ZINC000480408888,1,400,>10000,>10000,ND,89.34,,CN(C)[C@@]1(CNC(=O)c2cnn(-c3ccc(Cl)cc3)c2)CCSC1,-69.05,24.0
ZINC000367447199,0,,,,NT,54.90,,O=C(CN1CC[C@@]2(C1)CCCOC2)Nc1cccc2ccccc21,-68.93,24.0
ZINC000573216829,1,1430,>10000,>10000,32720,84.24,,Cn1c2ccccc2cc(CN2CC[C@@H]2Cc2ccccc2)c1=O,-68.86,24.0
ZINC000130532671,1,320,>10000,>10000,IC50 = 10810,88.77,,CCOC(=O)c1nn(-c2ccccc2)cc1CN(C)[C@@H]1CCSC1,-68.84,24.0
ZINC000176752603,1,300,>10000,>10000,ND,98.25,,O[C@]1(CNCc2cnn(-c3ccc(Br)cc3)c2)CCSC1,-68.76,21.0
ZINC000185084297,0,,,,NT,-5.75,,C[C@@H](N[C@@H]1Cc2ccccc2[C@@H]1O)c1nc(-c2cccc(F)c2)no1,-68.76,25.0
ZINC000343213239,0,,,,NT,64.06,,CN(CC(=O)NCCc1csc2ccccc12)[C@@H]1CCSC1,-68.29,22.0
ZINC000155719879,1,460,>10000,>10000,7160,90.67,,Cc1cc(C(=O)N[C@@H]2CN(C(C)C)C[C@@H]2C)cc([N+](=O)[O-])c1,-68.23,22.0
ZINC000566176942,0,,,,NT,45.66,,C[C@H](C(=O)Nc1ccc(Cl)cn1)N1CC[C@@H](c2cccnc2)C1,-68.14,23.0
ZINC000117348217,0,,,,NT,0.05,,CC(C)[C@H]1CCCCN1Cc1nc2sc3c(c2c(=O)[nH]1)CCC3,-67.93,23.0
ZINC000377646411,0,,,,NT,-0.18,,CCOC(=O)c1cnn(C)c1NC(=O)CN1CC[C@@](CO)(C(C)C)C1,-67.93,25.0
ZINC000135539613,0,,,,NT,11.92,,O=C(CN1CCS[C@H]2COCC[C@@H]21)Nc1ccc(Br)cc1,-67.92,21.0
ZINC000289915250,0,,,,NT,-2.38,,Cc1ccccc1-n1cc(CNC[C@@](C)(O)c2ccsc2)nn1,-67.92,23.0
ZINC000332615244,0,,,,NT,-7.44,,C[C@@H]1CCCN(C(C)(C)CNC(=O)[C@@H](O)Cc2ccccc2)C1,-67.83,23.0
ZINC000304720724,0,,,,NT,21.53,,CN(CCO)Cc1cn(-c2ccccc2)nc1-c1cccs1,-67.76,22.0
ZINC000547642529,0,,,,NT,3.31,,Clc1ccc(-n2cc(CN[C@@H]3CCn4ccnc4C3)nn2)c(Cl)c1,-67.76,24.0
ZINC000112857579,0,,,,NT,-10.97,,CC(C)[C@@H](C(=O)N[C@H](C)c1nc2ccccc2[nH]1)N1CCCCC1,-67.71,24.0
ZINC000451479054,0,,,,NT,7.31,,CC1(C)[C@H](NCC(=O)Nc2ccc([N+](=O)[O-])cc2Cl)[C@H]2CCCO[C@H]21,-67.7,25.0
ZINC000609540377,1,3850,>10000,>10000,NT,66.85,,C[C@H](C(=O)Nc1cccc([N+](=O)[O-])c1)N1CC[C@@H](c2ccco2)C1,-67.7,24.0
